district,commodity,Arrival Date,variety,Min_price
Mysore,Ragi (Finger Millet),26-05-14,Fine,1900
Mysore,Ragi (Finger Millet),27-05-14,Fine,1500
Mysore,Ragi (Finger Millet),28-05-14,Fine,1500
Mysore,Ragi (Finger Millet),29-05-14,Fine,1500
Mysore,Ragi (Finger Millet),30-05-14,Fine,1400
Mysore,Ragi (Finger Millet),31-05-14,Fine,1400
Mysore,Ragi (Finger Millet),01-06-14,Fine,1800
Mysore,Ragi (Finger Millet),02-06-14,Fine,1600
Mysore,Ragi (Finger Millet),03-06-14,Fine,1800
Mysore,Ragi (Finger Millet),05-06-14,Fine,1700
Mysore,Ragi (Finger Millet),06-06-14,Fine,1500
Mysore,Ragi (Finger Millet),08-06-14,Fine,2100
Mysore,Ragi (Finger Millet),09-06-14,Fine,2100
Mysore,Ragi (Finger Millet),11-06-14,Fine,2200
Mysore,Ragi (Finger Millet),13-06-14,Fine,1800
Mysore,Ragi (Finger Millet),16-06-14,Fine,1800
Mysore,Ragi (Finger Millet),17-06-14,Fine,2000
Mysore,Ragi (Finger Millet),18-06-14,Fine,2000
Mysore,Ragi (Finger Millet),19-06-14,Fine,2000
Mysore,Ragi (Finger Millet),20-06-14,Fine,2000
Mysore,Ragi (Finger Millet),21-06-14,Fine,2000
Mysore,Ragi (Finger Millet),23-06-14,Fine,2000
Mysore,Ragi (Finger Millet),24-06-14,Fine,2000
Mysore,Ragi (Finger Millet),25-06-14,Fine,2000
Mysore,Ragi (Finger Millet),26-06-14,Fine,2000
Mysore,Ragi (Finger Millet),27-06-14,Fine,2000
Mysore,Ragi (Finger Millet),28-06-14,Fine,2000
Mysore,Ragi (Finger Millet),01-07-14,Fine,1700
Mysore,Ragi (Finger Millet),02-07-14,Fine,1600
Mysore,Ragi (Finger Millet),03-07-14,Fine,1600
Mysore,Ragi (Finger Millet),04-07-14,Fine,1800
Mysore,Ragi (Finger Millet),05-07-14,Fine,1900
Mysore,Ragi (Finger Millet),07-07-14,Fine,2000
Mysore,Ragi (Finger Millet),08-07-14,Fine,2000
Mysore,Ragi (Finger Millet),10-07-14,Fine,2200
Mysore,Ragi (Finger Millet),11-07-14,Fine,1900
Mysore,Ragi (Finger Millet),14-07-14,Fine,1900
Mysore,Ragi (Finger Millet),15-07-14,Fine,1900
Mysore,Ragi (Finger Millet),16-07-14,Fine,1900
Mysore,Ragi (Finger Millet),17-07-14,Fine,1900
Mysore,Ragi (Finger Millet),18-07-14,Fine,1900
Mysore,Ragi (Finger Millet),19-07-14,Fine,1900
Mysore,Ragi (Finger Millet),21-07-14,Fine,1900
Mysore,Ragi (Finger Millet),22-07-14,Fine,1900
Mysore,Ragi (Finger Millet),23-07-14,Fine,1900
Mysore,Ragi (Finger Millet),24-07-14,Fine,1900
Mysore,Ragi (Finger Millet),25-07-14,Fine,1900
Mysore,Ragi (Finger Millet),26-07-14,Fine,2100
Mysore,Ragi (Finger Millet),28-07-14,Fine,2100
Mysore,Ragi (Finger Millet),30-07-14,Fine,2100
Mysore,Ragi (Finger Millet),31-07-14,Fine,2100
Mysore,Ragi (Finger Millet),01-08-14,Fine,1850
Mysore,Ragi (Finger Millet),02-08-14,Fine,1500
Mysore,Ragi (Finger Millet),03-08-14,Fine,1800
Mysore,Ragi (Finger Millet),04-08-14,Fine,1800
Mysore,Ragi (Finger Millet),05-08-14,Fine,1900
Mysore,Ragi (Finger Millet),07-08-14,Fine,2000
Mysore,Ragi (Finger Millet),08-08-14,Fine,2000
Mysore,Ragi (Finger Millet),13-08-14,Fine,2200
Mysore,Ragi (Finger Millet),14-08-14,Fine,2200
Mysore,Ragi (Finger Millet),16-08-14,Fine,2200
Mysore,Ragi (Finger Millet),19-08-14,Fine,2200
Mysore,Ragi (Finger Millet),20-08-14,Fine,2200
Mysore,Ragi (Finger Millet),21-08-14,Fine,2200
Mysore,Ragi (Finger Millet),22-08-14,Fine,2200
Mysore,Ragi (Finger Millet),25-08-14,Fine,2200
Mysore,Ragi (Finger Millet),26-08-14,Fine,2200
Mysore,Ragi (Finger Millet),28-08-14,Fine,2000
Mysore,Ragi (Finger Millet),30-08-14,Fine,2000
Mysore,Ragi (Finger Millet),01-09-14,Fine,1700
Mysore,Ragi (Finger Millet),04-09-14,Fine,1600
Mysore,Ragi (Finger Millet),05-09-14,Fine,1600
Mysore,Ragi (Finger Millet),06-09-14,Fine,1500
Mysore,Ragi (Finger Millet),07-09-14,Fine,2000
Mysore,Ragi (Finger Millet),09-09-14,Fine,2100
Mysore,Ragi (Finger Millet),10-09-14,Fine,2200
Mysore,Ragi (Finger Millet),15-09-14,Fine,2200
Mysore,Ragi (Finger Millet),16-09-14,Fine,2200
Mysore,Ragi (Finger Millet),17-09-14,Fine,2200
Mysore,Ragi (Finger Millet),18-09-14,Fine,2200
Mysore,Ragi (Finger Millet),19-09-14,Fine,2200
Mysore,Ragi (Finger Millet),20-09-14,Fine,2200
Mysore,Ragi (Finger Millet),22-09-14,Fine,2200
Mysore,Ragi (Finger Millet),23-09-14,Fine,2200
Mysore,Ragi (Finger Millet),25-09-14,Fine,2200
Mysore,Ragi (Finger Millet),26-09-14,Fine,2200
Mysore,Ragi (Finger Millet),27-09-14,Fine,2200
Mysore,Ragi (Finger Millet),29-09-14,Fine,2200
Mysore,Ragi (Finger Millet),30-09-14,Fine,2200
Mysore,Ragi (Finger Millet),01-10-14,Fine,1850
Mysore,Ragi (Finger Millet),02-10-14,Fine,1600
Mysore,Ragi (Finger Millet),03-10-14,Fine,1800
Mysore,Ragi (Finger Millet),04-10-14,Fine,1800
Mysore,Ragi (Finger Millet),06-10-14,Fine,1500
Mysore,Ragi (Finger Millet),07-10-14,Fine,2000
Mysore,Ragi (Finger Millet),09-10-14,Fine,2200
Mysore,Ragi (Finger Millet),10-10-14,Fine,2200
Mysore,Ragi (Finger Millet),11-10-14,Fine,1900
Mysore,Ragi (Finger Millet),13-10-14,Fine,2200
Mysore,Ragi (Finger Millet),14-10-14,Fine,2250
Mysore,Ragi (Finger Millet),15-10-14,Fine,2250
Mysore,Ragi (Finger Millet),16-10-14,Fine,2200
Mysore,Ragi (Finger Millet),17-10-14,Fine,2200
Mysore,Ragi (Finger Millet),18-10-14,Fine,2200
Mysore,Ragi (Finger Millet),20-10-14,Fine,2200
Mysore,Ragi (Finger Millet),21-10-14,Fine,2200
Mysore,Ragi (Finger Millet),23-10-14,Fine,2200
Mysore,Ragi (Finger Millet),25-10-14,Fine,2200
Mysore,Ragi (Finger Millet),27-10-14,Fine,2200
Mysore,Ragi (Finger Millet),28-10-14,Fine,2200
Mysore,Ragi (Finger Millet),29-10-14,Fine,2200
Mysore,Ragi (Finger Millet),30-10-14,Fine,2200
Mysore,Ragi (Finger Millet),31-10-14,Fine,2200
Mysore,Ragi (Finger Millet),02-11-14,Fine,1600
Mysore,Ragi (Finger Millet),03-11-14,Fine,1800
Mysore,Ragi (Finger Millet),04-11-14,Fine,2000
Mysore,Ragi (Finger Millet),06-11-14,Fine,1800
Mysore,Ragi (Finger Millet),07-11-14,Fine,1900
Mysore,Ragi (Finger Millet),09-11-14,Fine,2200
Mysore,Ragi (Finger Millet),11-11-14,Fine,1900
Mysore,Ragi (Finger Millet),13-11-14,Fine,1900
Mysore,Ragi (Finger Millet),14-11-14,Fine,1900
Mysore,Ragi (Finger Millet),15-11-14,Fine,1900
Mysore,Ragi (Finger Millet),17-11-14,Fine,1900
Mysore,Ragi (Finger Millet),18-11-14,Fine,2200
Mysore,Ragi (Finger Millet),19-11-14,Fine,2200
Mysore,Ragi (Finger Millet),20-11-14,Fine,2200
Mysore,Ragi (Finger Millet),02-12-14,Fine,1500
Mysore,Ragi (Finger Millet),03-12-14,Fine,1700
Mysore,Ragi (Finger Millet),04-12-14,Fine,2000
Mysore,Ragi (Finger Millet),05-12-14,Fine,1600
Mysore,Ragi (Finger Millet),06-12-14,Fine,1800
Mysore,Ragi (Finger Millet),08-12-14,Fine,2000
Mysore,Ragi (Finger Millet),09-12-14,Fine,2200
Mysore,Ragi (Finger Millet),11-12-14,Fine,1900
Mysore,Ragi (Finger Millet),01-01-15,Fine,1900
Mysore,Ragi (Finger Millet),04-01-15,Fine,2100
Mysore,Ragi (Finger Millet),06-01-15,Fine,1900
Mysore,Ragi (Finger Millet),07-01-15,Fine,1900
Mysore,Ragi (Finger Millet),09-01-15,Fine,1800
Mysore,Ragi (Finger Millet),10-01-15,Fine,1800
Mysore,Ragi (Finger Millet),12-01-15,Fine,1900
Mysore,Ragi (Finger Millet),13-01-15,Fine,1900
Mysore,Ragi (Finger Millet),14-01-15,Fine,1900
Mysore,Ragi (Finger Millet),16-01-15,Fine,1900
Mysore,Ragi (Finger Millet),17-01-15,Fine,1800
Mysore,Ragi (Finger Millet),19-01-15,Fine,1800
Mysore,Ragi (Finger Millet),20-01-15,Fine,1800
Mysore,Ragi (Finger Millet),21-01-15,Fine,1800
Mysore,Ragi (Finger Millet),22-01-15,Fine,1800
Mysore,Ragi (Finger Millet),23-01-15,Fine,1900
Mysore,Ragi (Finger Millet),24-01-15,Fine,1900
Mysore,Ragi (Finger Millet),27-01-15,Fine,1900
Mysore,Ragi (Finger Millet),28-01-15,Fine,1900
Mysore,Ragi (Finger Millet),29-01-15,Fine,1900
Mysore,Ragi (Finger Millet),30-01-15,Fine,1800
Mysore,Ragi (Finger Millet),31-01-15,Fine,1800
Mysore,Ragi (Finger Millet),01-02-15,Fine,1900
Mysore,Ragi (Finger Millet),02-02-15,Fine,1800
Mysore,Ragi (Finger Millet),03-02-15,Fine,2000
Mysore,Ragi (Finger Millet),05-02-15,Fine,1900
Mysore,Ragi (Finger Millet),07-02-15,Fine,1900
Mysore,Ragi (Finger Millet),09-02-15,Fine,1800
